Ordinal,Type,Added,AST
0,MULTI,8,66
3,VALUE,4,2
0,MULTI,6,1
3,VALUE,4,0
3,VALUE,91,41
3,VALUE,1,0
1,CONTROL,12,0
3,VALUE,1,3
2,VAR,1,2
2,VAR,1,10
2,VAR,2,3
0,MULTI,6,1
1,CONTROL,2,9
0,MULTI,2,7
2,VAR,3,104
1,CONTROL,14,14
1,CONTROL,4,13
0,MULTI,104,9
3,VALUE,3,13
3,VALUE,2,2
3,VALUE,15,21
3,VALUE,1,5
0,MULTI,15,30
2,VAR,2,53
0,MULTI,2,21
0,MULTI,4,2
1,CONTROL,9,2
3,VALUE,4,0
3,VALUE,4,44
1,CONTROL,8,26
0,MULTI,1,9
1,CONTROL,29,29
3,VALUE,2,17
1,CONTROL,5,2
3,VALUE,1,0
0,MULTI,1,4
1,CONTROL,51,51
1,CONTROL,11,13
0,MULTI,1,2
1,CONTROL,328,38
2,VAR,1,3
3,VALUE,5,26
3,VALUE,1,13
0,MULTI,4,9
3,VALUE,1,112
3,VALUE,162,16
0,MULTI,5,4
2,VAR,5,125
0,MULTI,6,2
0,MULTI,2,0
2,VAR,2,5
3,VALUE,32,106
3,VALUE,4,10
0,MULTI,32,8
0,MULTI,21,119
3,VALUE,14,32
0,MULTI,5,2
0,MULTI,1,11
3,VALUE,3,9
3,VALUE,234,28
2,VAR,1,26
2,VAR,5,10
3,VALUE,1,8
3,VALUE,3,17
1,CONTROL,1,2
0,MULTI,61,5
3,VALUE,2,17
0,MULTI,6,0
3,VALUE,34,16
1,CONTROL,223,97
2,VAR,4,41
3,VALUE,1,25
0,MULTI,9,6
0,MULTI,67,179
3,VALUE,6,39
3,VALUE,3,10
3,VALUE,12,111
3,VALUE,2,0
3,VALUE,9,4
2,VAR,1,14
3,VALUE,6,2
3,VALUE,5,6
2,VAR,6,38
3,VALUE,10,11
0,MULTI,6,0
0,MULTI,2,6
1,CONTROL,4,2
2,VAR,2,3
3,VALUE,3,20
0,MULTI,16,41
1,CONTROL,27,2
3,VALUE,3,0
2,VAR,2,1
0,MULTI,10,111
3,VALUE,11,0
2,VAR,1,2
0,MULTI,9,2
3,VALUE,2,2
1,CONTROL,40,4
3,VALUE,3,18
0,MULTI,4,105
2,VAR,2,8
2,VAR,2,8
3,VALUE,6,2
0,MULTI,34,13
3,VALUE,6,0
0,MULTI,6,8
1,CONTROL,8,2
2,VAR,12,96
0,MULTI,3,7
3,VALUE,9,52
0,MULTI,3,9
1,CONTROL,43,2
0,MULTI,8,4
0,MULTI,38,0
3,VALUE,2,0
1,CONTROL,2,2
3,VALUE,1,0
2,VAR,3,2
0,MULTI,18,676
3,VALUE,11,16
3,VALUE,3,0
2,VAR,28,0
0,MULTI,5,3
3,VALUE,1,1
0,MULTI,23,0
3,VALUE,50,2
0,MULTI,27,24
3,VALUE,11,0
3,VALUE,2,7
0,MULTI,4,2
0,MULTI,1,62
0,MULTI,3,21
0,MULTI,1,4
0,MULTI,11,27
2,VAR,1,4
3,VALUE,5,51
0,MULTI,46,22
1,CONTROL,58,2
0,MULTI,1,1
2,VAR,1,2
0,MULTI,2,0
1,CONTROL,10,62
