Ordinal,Type,Added,AST
1,CONTROL,6,4
0,MULTI,8,1
2,VAR,1,1
3,VALUE,7,1
0,MULTI,8,2
3,VALUE,8,2
0,MULTI,2,2
3,VALUE,2,2
0,MULTI,8,0
3,VALUE,8,0
0,MULTI,34,0
3,VALUE,34,0
0,MULTI,1,7
2,VAR,1,7
0,MULTI,34,5
1,CONTROL,28,5
3,VALUE,13,5
0,MULTI,2,9
2,VAR,1,9
3,VALUE,2,9
0,MULTI,1,0
2,VAR,1,0
0,MULTI,4,24
1,CONTROL,4,24
3,VALUE,2,24
0,MULTI,87,14
1,CONTROL,87,14
3,VALUE,1,14
0,MULTI,4,0
3,VALUE,4,0
0,MULTI,30,4
1,CONTROL,30,4
3,VALUE,2,4
0,MULTI,1,15
2,VAR,1,15
3,VALUE,1,15
0,MULTI,20,26
1,CONTROL,10,26
2,VAR,4,26
3,VALUE,14,26
0,MULTI,92,1
1,CONTROL,92,1
0,MULTI,2,7
1,CONTROL,2,7
0,MULTI,2,16
2,VAR,2,16
0,MULTI,9,29
2,VAR,7,29
3,VALUE,7,29
0,MULTI,10,0
3,VALUE,10,0
0,MULTI,2,7
2,VAR,2,7
3,VALUE,2,7
0,MULTI,1,3
3,VALUE,1,3
0,MULTI,4,2
2,VAR,4,2
3,VALUE,4,2
0,MULTI,3,20
3,VALUE,3,20
0,MULTI,3,6
2,VAR,1,6
3,VALUE,3,6
0,MULTI,8,2
1,CONTROL,8,2
0,MULTI,40,0
3,VALUE,40,0
0,MULTI,3,45
3,VALUE,3,45
0,MULTI,3,10
3,VALUE,3,10
0,MULTI,48,3
1,CONTROL,48,3
0,MULTI,12,0
3,VALUE,12,0
0,MULTI,4,0
3,VALUE,4,0
0,MULTI,2,2
2,VAR,2,2
3,VALUE,2,2
0,MULTI,30,9
3,VALUE,30,9
0,MULTI,1,2
2,VAR,1,2
3,VALUE,1,2
0,MULTI,4,3
1,CONTROL,1,3
3,VALUE,3,3
0,MULTI,64,26
